08/30/18 ,05:04:23 AM ,44.00 ,51.13 ,30.99
08/30/18 ,05:04:24 AM ,44.00 ,51.18 ,31.06
08/30/18 ,05:04:25 AM ,44.00 ,51.13 ,30.95
08/30/18 ,05:04:27 AM ,44.00 ,51.20 ,30.93
08/30/18 ,05:04:28 AM ,43.00 ,51.56 ,31.00
08/30/18 ,05:04:29 AM ,43.00 ,51.43 ,30.93
08/30/18 ,05:04:30 AM ,43.00 ,51.31 ,30.87
08/30/18 ,05:04:31 AM ,43.00 ,51.44 ,30.87
08/30/18 ,05:04:32 AM ,43.00 ,51.37 ,30.93
08/30/18 ,05:04:33 AM ,43.00 ,51.37 ,30.95
08/30/18 ,05:04:34 AM ,43.00 ,51.32 ,30.87
08/30/18 ,05:04:35 AM ,43.00 ,51.47 ,30.91
08/30/18 ,05:04:36 AM ,43.00 ,51.53 ,30.91
08/30/18 ,05:04:37 AM ,43.00 ,51.62 ,30.91
08/30/18 ,05:04:38 AM ,43.00 ,51.62 ,31.08
08/30/18 ,05:04:39 AM ,43.00 ,51.72 ,30.99
08/30/18 ,05:04:40 AM ,43.00 ,51.74 ,30.89
08/30/18 ,05:04:41 AM ,43.00 ,51.73 ,30.91
08/30/18 ,05:04:42 AM ,42.00 ,49.93 ,31.06
08/30/18 ,05:04:43 AM ,42.00 ,49.93 ,31.06
08/30/18 ,05:04:44 AM ,42.00 ,51.43 ,31.02
08/30/18 ,05:04:45 AM ,42.00 ,51.64 ,31.00
08/30/18 ,05:04:46 AM ,42.00 ,51.82 ,31.13
08/30/18 ,05:04:47 AM ,42.00 ,51.49 ,31.12
08/30/18 ,05:04:48 AM ,42.00 ,51.97 ,31.15
08/30/18 ,05:04:49 AM ,42.00 ,51.91 ,31.12
08/30/18 ,05:04:50 AM ,42.00 ,51.47 ,31.04
08/30/18 ,05:04:51 AM ,42.00 ,51.91 ,31.02
08/30/18 ,05:04:52 AM ,42.00 ,52.06 ,31.21
08/30/18 ,05:04:53 AM ,42.00 ,52.16 ,31.34
08/30/18 ,05:04:54 AM ,42.00 ,51.98 ,31.27
08/30/18 ,05:04:55 AM ,42.00 ,52.26 ,31.27
08/30/18 ,05:04:56 AM ,42.00 ,52.22 ,31.32
08/30/18 ,05:04:57 AM ,42.00 ,52.24 ,31.28
08/30/18 ,05:04:58 AM ,42.00 ,52.67 ,31.30
08/30/18 ,05:04:59 AM ,42.00 ,52.76 ,31.41
08/30/18 ,05:05:00 AM ,42.00 ,52.61 ,31.38
08/30/18 ,05:05:01 AM ,42.00 ,52.87 ,31.41
08/30/18 ,05:05:02 AM ,42.00 ,52.94 ,31.30
08/30/18 ,05:05:03 AM ,41.00 ,52.82 ,31.38
08/30/18 ,05:05:04 AM ,41.00 ,53.08 ,31.55
